name,collection_or_case,rarity,float_category
★ Hand Wraps | Spruce DDPAT,Unknown,Extraordinary,0.06 - 0.8
★ Butterfly Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Butterfly Knife | Stained,Knife Case,Covert,0 - 1
★ Butterfly Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Butterfly Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Butterfly Knife | Lore,Knife Case,Covert,0 - 1
★ Butterfly Knife | Autotronic,Knife Case,Covert,0 - 0.85
★ Butterfly Knife | Black Laminate,Knife Case,Covert,0 - 1
★ Butterfly Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Butterfly Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Butterfly Knife | Bright Water,Knife Case,Covert,0 - 0.5
★ Butterfly Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Butterfly Knife | Night,Knife Case,Covert,0.06 - 0.8
★ Butterfly Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Butterfly Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Butterfly Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Butterfly Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Survival Knife | Fade,Knife Case,Covert,0 - 0.08
★ Survival Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Survival Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Survival Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Survival Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Survival Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Survival Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Survival Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Survival Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Survival Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Survival Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Survival Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Survival Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Survival Knife | Stained,Knife Case,Covert,0 - 1
★ Survival Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Survival Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Survival Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Survival Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Survival Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Survival Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Survival Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Survival Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Survival Knife | Night Stripe,Knife Case,Covert,0.06 - 0.8
★ Survival Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Paracord Knife | Fade,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Paracord Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Paracord Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Paracord Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Paracord Knife | Stained,Knife Case,Covert,0 - 1
★ Paracord Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Paracord Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Paracord Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Paracord Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Paracord Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Paracord Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Paracord Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Paracord Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Paracord Knife | Night Stripe,Knife Case,Covert,0.06 - 0.8
★ Paracord Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Classic Knife | Fade,Knife Case,Covert,0 - 0.08
★ Classic Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Classic Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Classic Knife | Stained,Knife Case,Covert,0 - 1
★ Classic Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Classic Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Classic Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Classic Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Classic Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Classic Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Classic Knife | Night Stripe,Knife Case,Covert,0.06 - 0.8
★ Classic Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Falchion Knife | Fade,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Freehand,Knife Case,Covert,0 - 0.48
★ Falchion Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Falchion Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Falchion Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Falchion Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Falchion Knife | Stained,Knife Case,Covert,0 - 1
★ Falchion Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Falchion Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Falchion Knife | Lore,Knife Case,Covert,0 - 0.65
★ Falchion Knife | Autotronic,Knife Case,Covert,0 - 0.85
★ Falchion Knife | Black Laminate,Knife Case,Covert,0 - 1
★ Falchion Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Falchion Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Falchion Knife | Bright Water,Knife Case,Covert,0 - 0.5
★ Falchion Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Falchion Knife | Night,Knife Case,Covert,0.06 - 0.8
★ Falchion Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Falchion Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Falchion Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Falchion Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Flip Knife | Fade,Knife Case,Covert,0 - 0.08
★ Flip Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Flip Knife | Freehand,Knife Case,Covert,0 - 0.48
★ Flip Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Flip Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Flip Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Flip Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Flip Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Flip Knife | Stained,Knife Case,Covert,0 - 1
★ Flip Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Flip Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Flip Knife | Lore,Knife Case,Covert,0 - 0.65
★ Flip Knife | Black Laminate,Knife Case,Covert,0 - 1
★ Flip Knife | Autotronic,Knife Case,Covert,0 - 0.85
★ Flip Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Flip Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Flip Knife | Bright Water,Knife Case,Covert,0 - 0.5
★ Flip Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Flip Knife | Night,Knife Case,Covert,0.06 - 0.8
★ Flip Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Flip Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Flip Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Flip Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Gut Knife | Fade,Knife Case,Covert,0 - 0.08
★ Gut Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Gut Knife | Freehand,Knife Case,Covert,0 - 0.48
★ Gut Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Gut Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Gut Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Gut Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Gut Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Gut Knife | Stained,Knife Case,Covert,0 - 1
★ Gut Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Gut Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Gut Knife | Lore,Knife Case,Covert,0 - 0.65
★ Gut Knife | Black Laminate,Knife Case,Covert,0 - 1
★ Gut Knife | Autotronic,Knife Case,Covert,0 - 0.85
★ Gut Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Gut Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Gut Knife | Bright Water,Knife Case,Covert,0 - 0.5
★ Gut Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Gut Knife | Night,Knife Case,Covert,0.06 - 0.8
★ Gut Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Gut Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Gut Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Gut Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Navaja Knife | Fade,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Navaja Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Navaja Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Navaja Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Navaja Knife | Stained,Knife Case,Covert,0 - 1
★ Navaja Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Navaja Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Navaja Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Navaja Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Navaja Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Navaja Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Navaja Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Navaja Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Navaja Knife | Night Stripe,Knife Case,Covert,0.06 - 0.8
★ Navaja Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Karambit | Fade,Unknown,Covert,0 - 0.08
★ Karambit | Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Marble Fade,Unknown,Covert,0 - 0.08
★ Karambit | Freehand,Unknown,Covert,0 - 0.48
★ Karambit | Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Doppler,Unknown,Covert,0 - 0.08
★ Karambit | Slaughter,Unknown,Covert,0.01 - 0.26
★ Karambit | Tiger Tooth,Unknown,Covert,0 - 0.08
★ Karambit | Blue Steel,Unknown,Covert,0 - 1
★ Karambit | Damascus Steel,Unknown,Covert,0 - 0.5
★ Karambit | Stained,Unknown,Covert,0 - 1
★ Karambit | Case Hardened,Unknown,Covert,0 - 1
★ Karambit | Rust Coat,Unknown,Covert,0.4 - 1
★ Karambit | Lore,Unknown,Covert,0 - 0.65
★ Karambit | Black Laminate,Unknown,Covert,0 - 1
★ Karambit | Autotronic,Unknown,Covert,0 - 0.85
★ Karambit | Forest DDPAT,Unknown,Covert,0.06 - 0.8
★ Karambit | Boreal Forest,Unknown,Covert,0.06 - 0.8
★ Karambit | Bright Water,Unknown,Covert,0 - 0.5
★ Karambit | Crimson Web,Unknown,Covert,0.06 - 0.8
★ Karambit | Night,Unknown,Covert,0.06 - 0.8
★ Karambit | Ultraviolet,Unknown,Covert,0.06 - 0.8
★ Karambit | Scorched,Unknown,Covert,0.06 - 0.8
★ Karambit | Safari Mesh,Unknown,Covert,0.06 - 0.8
★ Karambit | Urban Masked,Unknown,Covert,0.06 - 0.8
★ Kukri Knife | Fade,Knife Case,Covert,0 - 0.08
★ Kukri Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Kukri Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Kukri Knife | Stained,Knife Case,Covert,0 - 1
★ Kukri Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Kukri Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Kukri Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Kukri Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Kukri Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Kukri Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Kukri Knife | Night Stripe,Knife Case,Covert,0.06 - 0.8
★ Kukri Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ M9 Bayonet | Fade,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Marble Fade,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Freehand,Unknown,Covert,0 - 0.48
★ M9 Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Slaughter,Unknown,Covert,0.01 - 0.26
★ M9 Bayonet | Tiger Tooth,Unknown,Covert,0 - 0.08
★ M9 Bayonet | Blue Steel,Unknown,Covert,0 - 1
★ M9 Bayonet | Damascus Steel,Unknown,Covert,0 - 0.5
★ M9 Bayonet | Stained,Unknown,Covert,0 - 1
★ M9 Bayonet | Case Hardened,Unknown,Covert,0 - 1
★ M9 Bayonet | Rust Coat,Unknown,Covert,0.4 - 1
★ M9 Bayonet | Lore,Unknown,Covert,0 - 0.65
★ M9 Bayonet | Black Laminate,Unknown,Covert,0 - 1
★ M9 Bayonet | Autotronic,Unknown,Covert,0 - 0.85
★ M9 Bayonet | Forest DDPAT,Unknown,Covert,0.06 - 0.8
★ M9 Bayonet | Boreal Forest,Unknown,Covert,0.06 - 0.8
★ M9 Bayonet | Bright Water,Unknown,Covert,0 - 0.5
★ M9 Bayonet | Crimson Web,Unknown,Covert,0.06 - 0.8
★ M9 Bayonet | Night,Unknown,Covert,0.06 - 0.8
★ M9 Bayonet | Ultraviolet,Unknown,Covert,0.06 - 0.8
★ M9 Bayonet | Scorched,Unknown,Covert,0.06 - 0.8
★ M9 Bayonet | Safari Mesh,Unknown,Covert,0.06 - 0.8
★ M9 Bayonet | Urban Masked,Unknown,Covert,0.06 - 0.8
★ Nomad Knife | Fade,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Nomad Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Nomad Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Nomad Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Nomad Knife | Stained,Knife Case,Covert,0 - 1
★ Nomad Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Nomad Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Nomad Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Nomad Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Nomad Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Nomad Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Nomad Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Nomad Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Nomad Knife | Night Stripe,Knife Case,Covert,0.06 - 0.8
★ Nomad Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Shadow Daggers | Fade,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Marble Fade,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Freehand,Unknown,Covert,0 - 0.48
★ Shadow Daggers | Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Doppler,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Slaughter,Unknown,Covert,0.01 - 0.26
★ Shadow Daggers | Tiger Tooth,Unknown,Covert,0 - 0.08
★ Shadow Daggers | Blue Steel,Unknown,Covert,0 - 1
★ Shadow Daggers | Damascus Steel,Unknown,Covert,0 - 0.5
★ Shadow Daggers | Stained,Unknown,Covert,0 - 1
★ Shadow Daggers | Case Hardened,Unknown,Covert,0 - 1
★ Shadow Daggers | Rust Coat,Unknown,Covert,0.4 - 1
★ Shadow Daggers | Lore,Unknown,Covert,0 - 1
★ Shadow Daggers | Autotronic,Unknown,Covert,0 - 0.85
★ Shadow Daggers | Black Laminate,Unknown,Covert,0 - 1
★ Shadow Daggers | Forest DDPAT,Unknown,Covert,0.06 - 0.8
★ Shadow Daggers | Boreal Forest,Unknown,Covert,0.06 - 0.8
★ Shadow Daggers | Bright Water,Unknown,Covert,0 - 0.5
★ Shadow Daggers | Crimson Web,Unknown,Covert,0.06 - 0.8
★ Shadow Daggers | Night,Unknown,Covert,0.06 - 0.8
★ Shadow Daggers | Ultraviolet,Unknown,Covert,0.06 - 0.8
★ Shadow Daggers | Scorched,Unknown,Covert,0.06 - 0.8
★ Shadow Daggers | Safari Mesh,Unknown,Covert,0.06 - 0.8
★ Shadow Daggers | Urban Masked,Unknown,Covert,0.06 - 0.8
★ Skeleton Knife | Fade,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Skeleton Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Skeleton Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Skeleton Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Skeleton Knife | Stained,Knife Case,Covert,0 - 1
★ Skeleton Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Skeleton Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Skeleton Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Skeleton Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Skeleton Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Skeleton Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Skeleton Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Skeleton Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Skeleton Knife | Night Stripe,Knife Case,Covert,0.06 - 0.8
★ Skeleton Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Stiletto Knife | Fade,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Stiletto Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Stiletto Knife | Blue Steel,Knife Case,Covert,0 - 1
★ Stiletto Knife | Damascus Steel,Knife Case,Covert,0 - 0.5
★ Stiletto Knife | Stained,Knife Case,Covert,0 - 1
★ Stiletto Knife | Case Hardened,Knife Case,Covert,0 - 1
★ Stiletto Knife | Rust Coat,Knife Case,Covert,0.4 - 1
★ Stiletto Knife | Forest DDPAT,Knife Case,Covert,0.06 - 0.8
★ Stiletto Knife | Boreal Forest,Knife Case,Covert,0.06 - 0.8
★ Stiletto Knife | Crimson Web,Knife Case,Covert,0.06 - 0.8
★ Stiletto Knife | Ultraviolet,Knife Case,Covert,0.06 - 0.8
★ Stiletto Knife | Scorched,Knife Case,Covert,0.06 - 0.8
★ Stiletto Knife | Safari Mesh,Knife Case,Covert,0.06 - 0.8
★ Stiletto Knife | Night Stripe,Knife Case,Covert,0.06 - 0.8
★ Stiletto Knife | Urban Masked,Knife Case,Covert,0.06 - 0.8
★ Bowie Knife | Fade,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Freehand,Knife Case,Covert,0 - 0.48
★ Bowie Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Bowie Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
